target_end_date,target,location,observation
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Katwa,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Kilo,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Miti Murhesa,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Mongbwalu,84
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Nizi,0
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Nyankunde,6
2026-05-21,insp_sitrep__cumulative_suspected_deaths__daily,Rwampara,51
2026-05-21,insp_sitrep__hospitalised__daily,Bunia,50
2026-05-21,insp_sitrep__hospitalised__daily,Mongbwalu,36
2026-05-21,insp_sitrep__hospitalised__daily,Nyankunde,23
2026-05-21,insp_sitrep__hospitalised__daily,Rwampara,88
2026-05-21,insp_sitrep__national_cumulative_confirmed_cases__daily,DRC,83
2026-05-21,insp_sitrep__national_cumulative_confirmed_deaths__daily,DRC,9
2026-05-21,insp_sitrep__national_cumulative_suspected_cases__daily,DRC,746
2026-05-21,insp_sitrep__new_hosp_admissions__daily,Bunia,36
2026-05-21,insp_sitrep__new_hosp_admissions__daily,Mongbwalu,27
2026-05-21,insp_sitrep__new_hosp_admissions__daily,Nyankunde,16
2026-05-21,insp_sitrep__new_hosp_admissions__daily,Rwampara,76
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Aru,1
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Bambu,1
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Bunia,23
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Butembo,2
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Goma,1
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Katwa,0
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Kilo,1
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Miti Murhesa,1
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Mongbwalu,10
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Nizi,2
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Nyankunde,9
2026-05-22,insp_sitrep__cumulative_confirmed_cases__daily,Rwampara,32
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Bambu,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Bunia,2
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Butembo,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Goma,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Katwa,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Kilo,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Komanda,1
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Miti Murhesa,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Mongbwalu,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Nizi,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Nyankunde,0
2026-05-22,insp_sitrep__cumulative_confirmed_deaths__daily,Rwampara,2
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Aru,3
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Bambu,4
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Bunia,227
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Butembo,7
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Goma,1
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Katwa,13
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Kilo,6
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Miti Murhesa,1
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Mongbwalu,339
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Nizi,5
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Nyankunde,45
2026-05-22,insp_sitrep__cumulative_suspected_cases__daily,Rwampara,221
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Bambu,0
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Bunia,42
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Butembo,0
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Goma,0
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Katwa,0
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Kilo,2
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Miti Murhesa,0
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Mongbwalu,88
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Nizi,1
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Nyankunde,8
2026-05-22,insp_sitrep__cumulative_suspected_deaths__daily,Rwampara,63
2026-05-22,insp_sitrep__hospitalised__daily,Bunia,44
2026-05-22,insp_sitrep__hospitalised__daily,Mongbwalu,34
2026-05-22,insp_sitrep__hospitalised__daily,Nyankunde,24
2026-05-22,insp_sitrep__hospitalised__daily,Rwampara,45
2026-05-22,insp_sitrep__national_cumulative_confirmed_cases__daily,DRC,91
2026-05-22,insp_sitrep__national_cumulative_confirmed_deaths__daily,DRC,10
2026-05-22,insp_sitrep__national_cumulative_suspected_cases__daily,DRC,867
2026-05-22,insp_sitrep__new_hosp_admissions__daily,Bunia,11
2026-05-22,insp_sitrep__new_hosp_admissions__daily,Mongbwalu,4
2026-05-22,insp_sitrep__new_hosp_admissions__daily,Nyankunde,2
2026-05-22,insp_sitrep__new_hosp_admissions__daily,Rwampara,11
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Aru,1
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Bambu,0
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Bunia,24
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Butembo,1
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Goma,1
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Katwa,4
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Kilo,1
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Miti Murhesa,1
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Mongbwalu,19
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Nizi,2
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Nyankunde,9
2026-05-23,insp_sitrep__cumulative_confirmed_cases__daily,Rwampara,32
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Bambu,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Bunia,2
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Butembo,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Goma,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Katwa,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Kilo,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Komanda,1
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Miti Murhesa,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Mongbwalu,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Nizi,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Nyankunde,0
2026-05-23,insp_sitrep__cumulative_confirmed_deaths__daily,Rwampara,2
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Aru,4
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Bambu,6
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Bunia,249
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Butembo,7
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Goma,1
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Katwa,13
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Kilo,6
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Miti Murhesa,1
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Mongbwalu,339
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Nizi,6
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Nyankunde,45
2026-05-23,insp_sitrep__cumulative_suspected_cases__daily,Rwampara,228
2026-05-23,insp_sitrep__cumulative_suspected_deaths__daily,Aru,1
